id;mlu;style;tempo;performer;feel;barsspan;startbar;startbeat;endbar;endbeat;notes;beats;rhythm;subrhythm
4_3;lick;COOL;MEDIUM UP;Art Pepper;SWING;4;6;2;9;2;25;13;3,1,2,1,2,2,2,2,2,2,2,2,2;0111,1,11,1,11,11,011,11,011,11,11,11,11
4_4;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;11;1;12;1;5;3;2,2,1;11,11,1
4_5;lick;COOL;MEDIUM UP;Art Pepper;SWING;4;12;3;15;2;17;10;2,2,2,2,1,1,2,2,2,1;011,11,11,11,0001,1,11,11,11,0001
4_6;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;16;3;17;1;5;3;2,1,2;1001,01,11
4_7;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;17;4;18;3;7;4;1,2,2,2;0001,11,11,11
4_8;lick;COOL;MEDIUM UP;Art Pepper;SWING;5;19;2;23;3;24;17;1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,2;000001,0001,11,11,01,1,1,1,0001,010001,01,11,11,11,1,0001,1001
4_9;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;25;1;26;2;8;6;1,2,1,2,1,1;0001,11,01,1001,01,1
4_10;lick;COOL;MEDIUM UP;Art Pepper;SWING;5;27;2;31;1;26;15;2,2,1,1,1,2,2,2,2,2,2,1,2,2,2;011,1001,01,01,1,11,11,11,11,011,11,1,11,11,11
4_11;lick;COOL;MEDIUM UP;Art Pepper;SWING;3;31;3;33;4;10;10;1,1,1,1,1,1,1,1,1,1;01,1,01,1,1,1,1,0001,01,1
4_12;lick;COOL;MEDIUM UP;Art Pepper;SWING;3;34;3;36;1;13;7;2,2,3,2,1,2,1;11,11,001011,11,1,11,01
4_13;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;37;3;37;4;4;2;3,1;1011,1
4_14;lick;COOL;MEDIUM UP;Art Pepper;SWING;4;38;3;41;2;21;12;1,2,2,2,2,2,1,1,2,3,2,1;1,11,11,11,11,11,1,0001,11,1101,010001,01
4_15;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;42;2;42;3;3;2;1,2;01,1001
4_16;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;44;1;44;2;3;2;1,2;1,11
4_17;lick;COOL;MEDIUM UP;Art Pepper;SWING;3;45;1;47;4;17;9;1,2,1,3,2,3,2,2,1;01,11,1,010011,11,010011,11,010001,01
4_18;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;48;3;49;1;3;2;1,2;1,11
4_19;lick;COOL;MEDIUM UP;Art Pepper;SWING;3;49;4;51;2;10;6;1,2,1,2,2,2;0001,11,1,11,11,11
4_20;line;COOL;MEDIUM UP;Art Pepper;SWING;1;53;1;53;4;12;4;3,4,4,1;1011,1111,1111,1
4_21;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;54;3;55;1;5;3;1,2,2;1,11,11
4_22;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;55;3;56;1;4;3;2,1,1;11,0001,0001
4_23;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;56;3;57;3;6;5;1,1,1,1,2;1,1,1,0001,11
4_24;fragment;COOL;MEDIUM UP;Art Pepper;SWING;1;58;3;58;3;2;1;2;11
4_25;fragment;COOL;MEDIUM UP;Art Pepper;SWING;5;59;3;63;1;24;14;2,1,1,2,2,2,2,1,2,2,2,2,2,1;11,1,01,11,11,11,1001,1,11,11,11,11,010001,1
4_26;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;63;2;64;4;10;7;1,2,1,1,2,2,1;01,11,01,01,11,11,01
4_27;fragment;COOL;MEDIUM UP;Art Pepper;SWING;1;66;1;66;1;1;1;1;1
4_28;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;67;1;68;4;11;7;1,2,2,1,2,1,2;1,11,11,0001,11,1,1001
4_29;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;70;1;70;4;11;4;4,4,2,1;1111,01111,010001,1
4_30;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;71;2;72;2;8;4;1,4,2,1;01,101110,11,1
4_31;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;72;4;73;3;5;4;1,1,2,1;01,1,1001,1
4_32;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;74;2;74;3;4;2;2,2;11,11
4_33;lick;COOL;MEDIUM UP;Art Pepper;SWING;3;76;1;78;3;18;9;2,2,1,2,2,3,2,2,2;1001,1001,1,11,11,0111,11,11,11
4_34;rhythm;COOL;MEDIUM UP;Art Pepper;SWING;2;79;4;80;4;3;3;1,1,1;01,1,0001
4_35;fragment;COOL;MEDIUM UP;Art Pepper;SWING;1;82;1;82;1;1;1;1;1
4_36;fragment;COOL;MEDIUM UP;Art Pepper;SWING;1;83;1;83;2;3;2;2,1;11,1
4_37;line;COOL;MEDIUM UP;Art Pepper;SWING;4;84;1;87;4;26;16;3,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1;1011,11,11,11,1011,11,1001,11,1,1,1,1,1,000001,01,1
4_38;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;88;3;89;1;4;3;1,2,1;0001,11,1
4_39;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;89;3;89;4;3;2;1,2;0001,11
4_40;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;91;1;92;3;13;7;1,3,1,1,1,4,2;01,1011,1,000001,1,1111,11
4_41;lick;COOL;MEDIUM UP;Art Pepper;SWING;5;93;1;97;1;27;16;2,2,1,1,1,1,2,2,2,3,2,2,1,2,2,1;000011,011,1,1,1,1,11,11,11,1011,11,11,01,11,11,1
4_42;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;97;4;98;1;6;2;4,2;100111,11
4_43;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;99;1;100;1;13;5;4,4,1,3,1;10111,010111,01,1101,1
4_44;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;100;3;100;4;3;2;1,2;01,11
4_45;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;102;1;102;3;4;3;1,2,1;1,11,1
4_46;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;104;1;105;4;11;7;1,1,2,1,2,2,2;1,01,11,01,11,11,11
4_47;fragment;COOL;MEDIUM UP;Art Pepper;SWING;1;107;1;107;2;2;2;1,1;01,1
4_48;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;108;1;108;3;4;3;1,1,2;1,01,11
4_49;lick;COOL;MEDIUM UP;Art Pepper;SWING;3;109;4;111;4;15;9;1,3,2,2,2,1,2,1,1;1,1011,11,11,11,1,1001,01,1
4_50;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;112;3;113;1;5;3;2,1,2;1001,01,1001
4_51;lick;COOL;MEDIUM UP;Art Pepper;SWING;3;113;4;115;3;16;8;1,2,2,2,2,2,3,2;01,11,11,11,11,11,1101,010001
4_52;lick;COOL;MEDIUM UP;Art Pepper;SWING;4;116;4;119;1;10;9;1,2,1,1,1,1,1,1,1;01,1001,0001,01,1,1,1,1,1
4_53;lick;COOL;MEDIUM UP;Art Pepper;SWING;2;120;1;121;1;7;5;1,2,2,1,1;01,11,11,1,1
4_54;lick;COOL;MEDIUM UP;Art Pepper;SWING;1;122;2;122;3;3;2;1,2;01,1001
4_55;lick;COOL;MEDIUM UP;Art Pepper;SWING;4;123;2;126;4;23;13;1,2,2,1,2,2,1,2,1,2,2,3,2;01,1001,1001,01,0011,11,1,11,01,11,11,010011,11
5_1;theme;COOL;SLOW;Art Pepper;BALLAD;2;0;4;1;3;7;4;2,3,1,1;011,0111,01,1
5_2;theme;COOL;SLOW;Art Pepper;BALLAD;2;1;4;2;1;3;2;2,1;000011,1
5_3;lick;COOL;SLOW;Art Pepper;BALLAD;1;2;4;2;4;3;1;3;00001101
5_4;lick;COOL;SLOW;Art Pepper;BALLAD;2;3;1;4;3;12;6;1,4,1,1,2,3;000001,011110,0001,01,0011,111
5_5;lick;COOL;SLOW;Art Pepper;BALLAD;1;5;1;5;3;7;3;2,4,1;00000000000011,011110,1
5_6;lick;COOL;SLOW;Art Pepper;BALLAD;1;6;2;6;4;6;3;2,3,1;0110,0111,01
5_7;lick;COOL;SLOW;Art Pepper;BALLAD;2;7;2;8;1;10;4;3,2,3,2;00111,11,0111,1100
5_8;lick;COOL;SLOW;Art Pepper;BALLAD;2;8;4;9;1;7;2;3,4;0111,1111
